sensors/logging_button,2015-03-21 07:12:46,START
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.69,-2.5,-3.53
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.7,-2.48,-3.55
sensors/encoder,2015-03-21 07:12:46,0.40265311564625844,42278.57714285714
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.69,-2.5,-3.56
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.67,-2.49,-3.57
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.67,-2.52,-3.57
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.68,-2.52,-3.57
sensors/encoder,2015-03-21 07:12:46,0.4162805742296919,42460.618571428575
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.71,-2.52,-3.55
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.71,-2.53,-3.54
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.71,-2.53,-3.52
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.72,-2.51,-3.51
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.7,-2.5,-3.5
sensors/encoder,2015-03-21 07:12:46,0.4635071739130434,42642.659999999996
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.69,-2.49,-3.51
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.7,-2.47,-3.52
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.71,-2.47,-3.52
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.72,-2.47,-3.52
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.71,-2.47,-3.51
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.68,-2.46,-3.51
sensors/encoder,2015-03-21 07:12:46,0.3660230891330891,42824.701428571425
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.67,-2.46,-3.53
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.67,-2.47,-3.53
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.65,-2.47,-3.54
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.64,-2.46,-3.56
sensors/encoder,2015-03-21 07:12:46,0.49433037766830873,43006.74285714286
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.47,-3.56
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.48,-3.56
sensors/imu,2015-03-21 07:12:46,0.0,0.0,0.0,0.0,0.0,0.0,106.63,-2.49,-3.55
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.48,-3.53
sensors/encoder,2015-03-21 07:12:47,0.4193085852981969,43188.78428571428
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.59,-2.49,-3.52
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.5,-3.52
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.52,-3.52
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.65,-2.5,-3.53
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.64,-2.5,-3.53
sensors/encoder,2015-03-21 07:12:47,0.45653500751879705,43370.82571428572
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.63,-2.49,-3.53
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.63,-2.49,-3.51
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.49,-3.51
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.47,-3.5
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.47,-3.5
